what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1485205288424
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.300.v201004150625,"org.eclipse.wst.jsdt.web.core",1485205288424
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1485205288424
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1485205288424
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1485205288424
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1485205288425
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1485205288425
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1485205288425
started,bundle,org.eclipse.wst.xsd.core,1.1.501.v201004110600,"org.eclipse.wst.xsd.core",1485205288426
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1485205288428
os,sysinfo,,,"macosx",1485205288440
arch,sysinfo,,,"x86_64",1485205288440
ws,sysinfo,,,"cocoa",1485205288440
locale,sysinfo,,,"en_IE",1485205288440
processors,sysinfo,,,"4",1485205288441
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1485205288441
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468-11M4833",1485205288441
java.specification.name,sysinfo,,,"Java Platform API Specification",1485205288441
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1485205288441
java.specification.version,sysinfo,,,"1.6",1485205288441
java.vendor,sysinfo,,,"Apple Inc.",1485205288441
java.version,sysinfo,,,"1.6.0_65",1485205288441
java.vm.info,sysinfo,,,"mixed mode",1485205288441
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1485205288441
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1485205288441
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1485205288441
java.vm.specification.version,sysinfo,,,"1.0",1485205288441
java.vm.vendor,sysinfo,,,"Apple Inc.",1485205288441
java.vm.version,sysinfo,,,"20.65-b04-468",1485205288441
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1485205289457
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1485205289476
